Gene_num,Gene_name,NodeType,Textual_gene_name
1660,RAB8A-TRAN,Gene-TRAN,RAB8A
1661,RAC1-TRAN,Gene-TRAN,RAC1
1662,RAC2-TRAN,Gene-TRAN,RAC2
1663,RAC3-TRAN,Gene-TRAN,RAC3
1664,RAF1-TRAN,Gene-TRAN,RAF1
1665,RAG1-TRAN,Gene-TRAN,RAG1
1666,RAG2-TRAN,Gene-TRAN,RAG2
1667,RALA-TRAN,Gene-TRAN,RALA
1668,RALB-TRAN,Gene-TRAN,RALB
1669,RALBP1-TRAN,Gene-TRAN,RALBP1
1670,RALGDS-TRAN,Gene-TRAN,RALGDS
1671,RAP1A-TRAN,Gene-TRAN,RAP1A
1672,RAP1B-TRAN,Gene-TRAN,RAP1B
1673,RAP1GAP-TRAN,Gene-TRAN,RAP1GAP
1674,RAPGEF1-TRAN,Gene-TRAN,RAPGEF1
1675,RAPGEF2-TRAN,Gene-TRAN,RAPGEF2
1676,RAPGEF3-TRAN,Gene-TRAN,RAPGEF3
1677,RAPGEF4-TRAN,Gene-TRAN,RAPGEF4
1678,RAPGEF5-TRAN,Gene-TRAN,RAPGEF5
1679,RAPGEF6-TRAN,Gene-TRAN,RAPGEF6
1680,RARA-TRAN,Gene-TRAN,RARA
1681,RASA1-TRAN,Gene-TRAN,RASA1
1682,RASA2-TRAN,Gene-TRAN,RASA2
1683,RASA3-TRAN,Gene-TRAN,RASA3
1684,RASA4-TRAN,Gene-TRAN,RASA4
1685,RASA4B-TRAN,Gene-TRAN,RASA4B
1686,RASAL1-TRAN,Gene-TRAN,RASAL1
1687,RASAL2-TRAN,Gene-TRAN,RASAL2
1688,RASAL3-TRAN,Gene-TRAN,RASAL3
1689,RASGRF1-TRAN,Gene-TRAN,RASGRF1
1690,RASGRF2-TRAN,Gene-TRAN,RASGRF2
1691,RASGRP1-TRAN,Gene-TRAN,RASGRP1
1692,RASGRP2-TRAN,Gene-TRAN,RASGRP2
1693,RASGRP3-TRAN,Gene-TRAN,RASGRP3
1694,RASGRP4-TRAN,Gene-TRAN,RASGRP4
1695,RASSF1-TRAN,Gene-TRAN,RASSF1
1696,RASSF2-TRAN,Gene-TRAN,RASSF2
1697,RASSF4-TRAN,Gene-TRAN,RASSF4
1698,RASSF5-TRAN,Gene-TRAN,RASSF5
1699,RASSF6-TRAN,Gene-TRAN,RASSF6
1700,RBCK1-TRAN,Gene-TRAN,RBCK1
1701,RBL1-TRAN,Gene-TRAN,RBL1
1702,RBL2-TRAN,Gene-TRAN,RBL2
1703,RBPJ-TRAN,Gene-TRAN,RBPJ
1704,RBPJL-TRAN,Gene-TRAN,RBPJL
1705,RBX1-TRAN,Gene-TRAN,RBX1
1706,RCAN1-TRAN,Gene-TRAN,RCAN1
1707,RCAN2-TRAN,Gene-TRAN,RCAN2
1708,RCHY1-TRAN,Gene-TRAN,RCHY1
1709,REL-TRAN,Gene-TRAN,REL
1710,RELA-TRAN,Gene-TRAN,RELA
1711,RELB-TRAN,Gene-TRAN,RELB
1712,RELN-TRAN,Gene-TRAN,RELN
1713,RET-TRAN,Gene-TRAN,RET
1714,RFNG-TRAN,Gene-TRAN,RFNG
1715,RGL1-TRAN,Gene-TRAN,RGL1
1716,RGL2-TRAN,Gene-TRAN,RGL2
1717,RGMA-TRAN,Gene-TRAN,RGMA
1718,RGMB-TRAN,Gene-TRAN,RGMB
1719,RGS14-TRAN,Gene-TRAN,RGS14
1720,RGS2-TRAN,Gene-TRAN,RGS2
1721,RHEB-TRAN,Gene-TRAN,RHEB
1722,RHOA-TRAN,Gene-TRAN,RHOA
1723,RHOQ-TRAN,Gene-TRAN,RHOQ
1724,RICTOR-TRAN,Gene-TRAN,RICTOR
1725,RIN1-TRAN,Gene-TRAN,RIN1
1726,RIPK1-TRAN,Gene-TRAN,RIPK1
1727,RIPK2-TRAN,Gene-TRAN,RIPK2
1728,RIPK3-TRAN,Gene-TRAN,RIPK3
1729,RLN1-TRAN,Gene-TRAN,RLN1
1730,RLN2-TRAN,Gene-TRAN,RLN2
1731,RLN3-TRAN,Gene-TRAN,RLN3
1732,RNASEL-TRAN,Gene-TRAN,RNASEL
1733,RNF125-TRAN,Gene-TRAN,RNF125
1734,RNF152-TRAN,Gene-TRAN,RNF152
1735,RNF31-TRAN,Gene-TRAN,RNF31
1736,RNF43-TRAN,Gene-TRAN,RNF43
1737,ROCK1-TRAN,Gene-TRAN,ROCK1
1738,ROCK2-TRAN,Gene-TRAN,ROCK2
1739,ROR1-TRAN,Gene-TRAN,ROR1
1740,ROR2-TRAN,Gene-TRAN,ROR2
1741,RPRM-TRAN,Gene-TRAN,RPRM
1742,RPS6-TRAN,Gene-TRAN,RPS6
1743,RPS6KA1-TRAN,Gene-TRAN,RPS6KA1
1744,RPS6KA2-TRAN,Gene-TRAN,RPS6KA2
1745,RPS6KA3-TRAN,Gene-TRAN,RPS6KA3
1746,RPS6KA4-TRAN,Gene-TRAN,RPS6KA4
1747,RPS6KA5-TRAN,Gene-TRAN,RPS6KA5
1748,RPS6KA6-TRAN,Gene-TRAN,RPS6KA6
1749,RPS6KB1-TRAN,Gene-TRAN,RPS6KB1
1750,RPS6KB2-TRAN,Gene-TRAN,RPS6KB2
1751,RPTOR-TRAN,Gene-TRAN,RPTOR
1752,RRAGA-TRAN,Gene-TRAN,RRAGA
1753,RRAGB-TRAN,Gene-TRAN,RRAGB
1754,RRAGC-TRAN,Gene-TRAN,RRAGC
1755,RRAGD-TRAN,Gene-TRAN,RRAGD
1756,RRAS-TRAN,Gene-TRAN,RRAS
1757,RRAS2-TRAN,Gene-TRAN,RRAS2
1758,RRM2-TRAN,Gene-TRAN,RRM2
1759,RRM2B-TRAN,Gene-TRAN,RRM2B
1760,RSPO1-TRAN,Gene-TRAN,RSPO1
1761,RSPO2-TRAN,Gene-TRAN,RSPO2
1762,RSPO3-TRAN,Gene-TRAN,RSPO3
1763,RSPO4-TRAN,Gene-TRAN,RSPO4
1764,RUVBL1-TRAN,Gene-TRAN,RUVBL1
1765,RXFP1-TRAN,Gene-TRAN,RXFP1
1766,RXFP2-TRAN,Gene-TRAN,RXFP2
1767,RXFP3-TRAN,Gene-TRAN,RXFP3
1768,RXFP4-TRAN,Gene-TRAN,RXFP4
1769,RXRA-TRAN,Gene-TRAN,RXRA
1770,RXRB-TRAN,Gene-TRAN,RXRB
1771,RXRG-TRAN,Gene-TRAN,RXRG
1772,RYK-TRAN,Gene-TRAN,RYK
1773,RYR1-TRAN,Gene-TRAN,RYR1
1774,RYR2-TRAN,Gene-TRAN,RYR2
1775,RYR3-TRAN,Gene-TRAN,RYR3
1776,S100A7-TRAN,Gene-TRAN,S100A7
1777,S100A7A-TRAN,Gene-TRAN,S100A7A
1778,S100A8-TRAN,Gene-TRAN,S100A8
1779,S100A9-TRAN,Gene-TRAN,S100A9
1780,S1PR1-TRAN,Gene-TRAN,S1PR1
1781,S1PR2-TRAN,Gene-TRAN,S1PR2
1782,S1PR3-TRAN,Gene-TRAN,S1PR3
1783,S1PR4-TRAN,Gene-TRAN,S1PR4
1784,S1PR5-TRAN,Gene-TRAN,S1PR5
1785,SAV1-TRAN,Gene-TRAN,SAV1
1786,SCD-TRAN,Gene-TRAN,SCD
1787,SCD5-TRAN,Gene-TRAN,SCD5
1788,SCP2-TRAN,Gene-TRAN,SCP2
1789,SCRIB-TRAN,Gene-TRAN,SCRIB
1790,SEC13-TRAN,Gene-TRAN,SEC13
1791,SEH1L-TRAN,Gene-TRAN,SEH1L
1792,SELE-TRAN,Gene-TRAN,SELE
1793,SENP2-TRAN,Gene-TRAN,SENP2
1794,SERPINB5-TRAN,Gene-TRAN,SERPINB5
1795,SERPINE1-TRAN,Gene-TRAN,SERPINE1
1796,SERPINF1-TRAN,Gene-TRAN,SERPINF1
1797,SESN1-TRAN,Gene-TRAN,SESN1
1798,SESN2-TRAN,Gene-TRAN,SESN2
1799,SESN3-TRAN,Gene-TRAN,SESN3
1800,SETD7-TRAN,Gene-TRAN,SETD7
1801,SFN-TRAN,Gene-TRAN,SFN
1802,SFRP1-TRAN,Gene-TRAN,SFRP1
1803,SFRP2-TRAN,Gene-TRAN,SFRP2
1804,SFRP4-TRAN,Gene-TRAN,SFRP4
1805,SFRP5-TRAN,Gene-TRAN,SFRP5
1806,SGK1-TRAN,Gene-TRAN,SGK1
1807,SGK2-TRAN,Gene-TRAN,SGK2
1808,SGK3-TRAN,Gene-TRAN,SGK3
1809,SH2B1-TRAN,Gene-TRAN,SH2B1
1810,SH2B2-TRAN,Gene-TRAN,SH2B2
1811,SH2B3-TRAN,Gene-TRAN,SH2B3
1812,SH2D2A-TRAN,Gene-TRAN,SH2D2A
1813,SHARPIN-TRAN,Gene-TRAN,SHARPIN
1814,SHC1-TRAN,Gene-TRAN,SHC1
1815,SHC2-TRAN,Gene-TRAN,SHC2
1816,SHC3-TRAN,Gene-TRAN,SHC3
1817,SHC4-TRAN,Gene-TRAN,SHC4
1818,SHH-TRAN,Gene-TRAN,SHH
1819,SHISA5-TRAN,Gene-TRAN,SHISA5
1820,SHOC2-TRAN,Gene-TRAN,SHOC2
1821,SIAH1-TRAN,Gene-TRAN,SIAH1
1822,SIK1-TRAN,Gene-TRAN,SIK1
1823,SIK2-TRAN,Gene-TRAN,SIK2
1824,SIKE1-TRAN,Gene-TRAN,SIKE1
1825,SIN3A-TRAN,Gene-TRAN,SIN3A
1826,SIPA1-TRAN,Gene-TRAN,SIPA1
1827,SIPA1L1-TRAN,Gene-TRAN,SIPA1L1
1828,SIPA1L2-TRAN,Gene-TRAN,SIPA1L2
1829,SIRT1-TRAN,Gene-TRAN,SIRT1
1830,SIVA1-TRAN,Gene-TRAN,SIVA1
1831,SKAP1-TRAN,Gene-TRAN,SKAP1
1832,SKP1-TRAN,Gene-TRAN,SKP1
1833,SKP2-TRAN,Gene-TRAN,SKP2
1834,SLC25A31-TRAN,Gene-TRAN,SLC25A31
1835,SLC25A4-TRAN,Gene-TRAN,SLC25A4
1836,SLC25A5-TRAN,Gene-TRAN,SLC25A5
1837,SLC25A6-TRAN,Gene-TRAN,SLC25A6
1838,SLC27A1-TRAN,Gene-TRAN,SLC27A1
1839,SLC27A4-TRAN,Gene-TRAN,SLC27A4
1840,SLC2A1-TRAN,Gene-TRAN,SLC2A1
1841,SLC2A2-TRAN,Gene-TRAN,SLC2A2
1842,SLC2A4-TRAN,Gene-TRAN,SLC2A4
1843,SLC38A9-TRAN,Gene-TRAN,SLC38A9
1844,SLC3A2-TRAN,Gene-TRAN,SLC3A2
1845,SLC7A5-TRAN,Gene-TRAN,SLC7A5
1846,SLC8A1-TRAN,Gene-TRAN,SLC8A1
1847,SLC8A2-TRAN,Gene-TRAN,SLC8A2
1848,SLC8A3-TRAN,Gene-TRAN,SLC8A3
1849,SLC9A1-TRAN,Gene-TRAN,SLC9A1
1850,SMAD1-TRAN,Gene-TRAN,SMAD1
1851,SMAD2-TRAN,Gene-TRAN,SMAD2
1852,SMAD3-TRAN,Gene-TRAN,SMAD3
1853,SMAD4-TRAN,Gene-TRAN,SMAD4
1854,SMAD5-TRAN,Gene-TRAN,SMAD5
1855,SMAD6-TRAN,Gene-TRAN,SMAD6
1856,SMAD7-TRAN,Gene-TRAN,SMAD7
1857,SMAD9-TRAN,Gene-TRAN,SMAD9
1858,SMO-TRAN,Gene-TRAN,SMO
1859,SMPD1-TRAN,Gene-TRAN,SMPD1
1860,SMPD2-TRAN,Gene-TRAN,SMPD2
1861,SMURF1-TRAN,Gene-TRAN,SMURF1
1862,SMURF2-TRAN,Gene-TRAN,SMURF2
1863,SNAI2-TRAN,Gene-TRAN,SNAI2
1864,SNW1-TRAN,Gene-TRAN,SNW1
1865,SOCS1-TRAN,Gene-TRAN,SOCS1
1866,SOCS2-TRAN,Gene-TRAN,SOCS2
1867,SOCS3-TRAN,Gene-TRAN,SOCS3
1868,SOCS4-TRAN,Gene-TRAN,SOCS4
1869,SOCS5-TRAN,Gene-TRAN,SOCS5
1870,SOCS6-TRAN,Gene-TRAN,SOCS6
1871,SOCS7-TRAN,Gene-TRAN,SOCS7
1872,SOD2-TRAN,Gene-TRAN,SOD2
1873,SORBS1-TRAN,Gene-TRAN,SORBS1
1874,SORT1-TRAN,Gene-TRAN,SORT1
1875,SOS1-TRAN,Gene-TRAN,SOS1
1876,SOS2-TRAN,Gene-TRAN,SOS2
1877,SOST-TRAN,Gene-TRAN,SOST
1878,SOX17-TRAN,Gene-TRAN,SOX17
1879,SOX2-TRAN,Gene-TRAN,SOX2
1880,SOX9-TRAN,Gene-TRAN,SOX9
1881,SP1-TRAN,Gene-TRAN,SP1
1882,SPHK1-TRAN,Gene-TRAN,SPHK1
1883,SPHK2-TRAN,Gene-TRAN,SPHK2
1884,SPOP-TRAN,Gene-TRAN,SPOP
1885,SPOPL-TRAN,Gene-TRAN,SPOPL
1886,SPP1-TRAN,Gene-TRAN,SPP1
1887,SRC-TRAN,Gene-TRAN,SRC
1888,SREBF1-TRAN,Gene-TRAN,SREBF1
1889,SRF-TRAN,Gene-TRAN,SRF
1890,SRSF1-TRAN,Gene-TRAN,SRSF1
1891,SST-TRAN,Gene-TRAN,SST
1892,SSTR1-TRAN,Gene-TRAN,SSTR1
1893,SSTR2-TRAN,Gene-TRAN,SSTR2
1894,SSTR5-TRAN,Gene-TRAN,SSTR5
1895,STAM-TRAN,Gene-TRAN,STAM
1896,STAM2-TRAN,Gene-TRAN,STAM2
1897,STAT1-TRAN,Gene-TRAN,STAT1
1898,STAT2-TRAN,Gene-TRAN,STAT2
1899,STAT3-TRAN,Gene-TRAN,STAT3
1900,STAT4-TRAN,Gene-TRAN,STAT4
1901,STAT5A-TRAN,Gene-TRAN,STAT5A
1902,STAT5B-TRAN,Gene-TRAN,STAT5B
1903,STAT6-TRAN,Gene-TRAN,STAT6
1904,STEAP3-TRAN,Gene-TRAN,STEAP3
1905,STIM1-TRAN,Gene-TRAN,STIM1
1906,STIM2-TRAN,Gene-TRAN,STIM2
1907,STK11-TRAN,Gene-TRAN,STK11
1908,STK3-TRAN,Gene-TRAN,STK3
1909,STK4-TRAN,Gene-TRAN,STK4
1910,STMN1-TRAN,Gene-TRAN,STMN1
1911,STRADA-TRAN,Gene-TRAN,STRADA
1912,STRADB-TRAN,Gene-TRAN,STRADB
1913,SUCNR1-TRAN,Gene-TRAN,SUCNR1
1914,SUFU-TRAN,Gene-TRAN,SUFU
1915,SUGT1-TRAN,Gene-TRAN,SUGT1
1916,SYK-TRAN,Gene-TRAN,SYK
1917,SYNGAP1-TRAN,Gene-TRAN,SYNGAP1
1918,TAB1-TRAN,Gene-TRAN,TAB1
1919,TAB2-TRAN,Gene-TRAN,TAB2
1920,TAB3-TRAN,Gene-TRAN,TAB3
1921,TACR1-TRAN,Gene-TRAN,TACR1
1922,TACR2-TRAN,Gene-TRAN,TACR2
1923,TACR3-TRAN,Gene-TRAN,TACR3
1924,TANK-TRAN,Gene-TRAN,TANK
1925,TAOK1-TRAN,Gene-TRAN,TAOK1
1926,TAOK2-TRAN,Gene-TRAN,TAOK2
1927,TAOK3-TRAN,Gene-TRAN,TAOK3
1928,TBC1D1-TRAN,Gene-TRAN,TBC1D1
1929,TBC1D4-TRAN,Gene-TRAN,TBC1D4
1930,TBC1D7-TRAN,Gene-TRAN,TBC1D7
1931,TBK1-TRAN,Gene-TRAN,TBK1
1932,TBKBP1-TRAN,Gene-TRAN,TBKBP1
1933,TBL1X-TRAN,Gene-TRAN,TBL1X
1934,TBL1XR1-TRAN,Gene-TRAN,TBL1XR1
1935,TBL1Y-TRAN,Gene-TRAN,TBL1Y
1936,TBX3-TRAN,Gene-TRAN,TBX3
1937,TBXA2R-TRAN,Gene-TRAN,TBXA2R
1938,TCF3-TRAN,Gene-TRAN,TCF3
1939,TCF7-TRAN,Gene-TRAN,TCF7
1940,TCF7L1-TRAN,Gene-TRAN,TCF7L1
1941,TCF7L2-TRAN,Gene-TRAN,TCF7L2
1942,TCL1A-TRAN,Gene-TRAN,TCL1A
1943,TCL1B-TRAN,Gene-TRAN,TCL1B
1944,TEAD1-TRAN,Gene-TRAN,TEAD1
1945,TEAD2-TRAN,Gene-TRAN,TEAD2
1946,TEAD3-TRAN,Gene-TRAN,TEAD3
1947,TEAD4-TRAN,Gene-TRAN,TEAD4
1948,TEC-TRAN,Gene-TRAN,TEC
1949,TEK-TRAN,Gene-TRAN,TEK
1950,TELO2-TRAN,Gene-TRAN,TELO2
1951,TF-TRAN,Gene-TRAN,TF
1952,TFAM-TRAN,Gene-TRAN,TFAM
1953,TFDP1-TRAN,Gene-TRAN,TFDP1
1954,TFF1-TRAN,Gene-TRAN,TFF1
1955,TFRC-TRAN,Gene-TRAN,TFRC
1956,TGFA-TRAN,Gene-TRAN,TGFA
1957,TGFB1-TRAN,Gene-TRAN,TGFB1
1958,TGFB2-TRAN,Gene-TRAN,TGFB2
1959,TGFB3-TRAN,Gene-TRAN,TGFB3
1960,TGFBR1-TRAN,Gene-TRAN,TGFBR1
1961,TGFBR2-TRAN,Gene-TRAN,TGFBR2
1962,TGIF1-TRAN,Gene-TRAN,TGIF1
1963,TGIF2-TRAN,Gene-TRAN,TGIF2
1964,TH-TRAN,Gene-TRAN,TH
1965,THBD-TRAN,Gene-TRAN,THBD
1966,THBS1-TRAN,Gene-TRAN,THBS1
1967,THBS2-TRAN,Gene-TRAN,THBS2
1968,THBS3-TRAN,Gene-TRAN,THBS3
1969,THBS4-TRAN,Gene-TRAN,THBS4
1970,THEM4-TRAN,Gene-TRAN,THEM4
1971,THPO-TRAN,Gene-TRAN,THPO
1972,THRA-TRAN,Gene-TRAN,THRA
1973,THRB-TRAN,Gene-TRAN,THRB
1974,TIAM1-TRAN,Gene-TRAN,TIAM1
1975,TICAM1-TRAN,Gene-TRAN,TICAM1
1976,TICAM2-TRAN,Gene-TRAN,TICAM2
1977,TIMP1-TRAN,Gene-TRAN,TIMP1
1978,TIRAP-TRAN,Gene-TRAN,TIRAP
1979,TKFC-TRAN,Gene-TRAN,TKFC
1980,TLE1-TRAN,Gene-TRAN,TLE1
1981,TLE2-TRAN,Gene-TRAN,TLE2
1982,TLE3-TRAN,Gene-TRAN,TLE3
1983,TLE4-TRAN,Gene-TRAN,TLE4
1984,TLE6-TRAN,Gene-TRAN,TLE6
1985,TLN1-TRAN,Gene-TRAN,TLN1
1986,TLN2-TRAN,Gene-TRAN,TLN2
1987,TLR1-TRAN,Gene-TRAN,TLR1
1988,TLR2-TRAN,Gene-TRAN,TLR2
1989,TLR3-TRAN,Gene-TRAN,TLR3
1990,TLR4-TRAN,Gene-TRAN,TLR4
1991,TLR5-TRAN,Gene-TRAN,TLR5
1992,TLR6-TRAN,Gene-TRAN,TLR6
1993,TLR7-TRAN,Gene-TRAN,TLR7
1994,TLR8-TRAN,Gene-TRAN,TLR8
1995,TLR9-TRAN,Gene-TRAN,TLR9
1996,TNC-TRAN,Gene-TRAN,TNC
1997,TNF-TRAN,Gene-TRAN,TNF
1998,TNFAIP3-TRAN,Gene-TRAN,TNFAIP3
1999,TNFRSF10A-TRAN,Gene-TRAN,TNFRSF10A
2000,TNFRSF10B-TRAN,Gene-TRAN,TNFRSF10B
2001,TNFRSF11A-TRAN,Gene-TRAN,TNFRSF11A
2002,TNFRSF13C-TRAN,Gene-TRAN,TNFRSF13C
2003,TNFRSF1A-TRAN,Gene-TRAN,TNFRSF1A
2004,TNFRSF1B-TRAN,Gene-TRAN,TNFRSF1B
2005,TNFSF10-TRAN,Gene-TRAN,TNFSF10
2006,TNFSF11-TRAN,Gene-TRAN,TNFSF11
2007,TNFSF13B-TRAN,Gene-TRAN,TNFSF13B
2008,TNFSF14-TRAN,Gene-TRAN,TNFSF14
2009,TNN-TRAN,Gene-TRAN,TNN
2010,TNNC1-TRAN,Gene-TRAN,TNNC1
2011,TNNC2-TRAN,Gene-TRAN,TNNC2
2012,TNNI3-TRAN,Gene-TRAN,TNNI3
2013,TNR-TRAN,Gene-TRAN,TNR
2014,TNXB-TRAN,Gene-TRAN,TNXB
2015,TOLLIP-TRAN,Gene-TRAN,TOLLIP
2016,TP53-TRAN,Gene-TRAN,TP53
2017,TP53AIP1-TRAN,Gene-TRAN,TP53AIP1
2018,TP53BP1-TRAN,Gene-TRAN,TP53BP1
2019,TP53BP2-TRAN,Gene-TRAN,TP53BP2
2020,TP53I3-TRAN,Gene-TRAN,TP53I3
2021,TP73-TRAN,Gene-TRAN,TP73
2022,TPCN1-TRAN,Gene-TRAN,TPCN1
2023,TPCN2-TRAN,Gene-TRAN,TPCN2
2024,TRADD-TRAN,Gene-TRAN,TRADD
2025,TRAF1-TRAN,Gene-TRAN,TRAF1
2026,TRAF2-TRAN,Gene-TRAN,TRAF2
2027,TRAF3-TRAN,Gene-TRAN,TRAF3
2028,TRAF3IP2-TRAN,Gene-TRAN,TRAF3IP2
2029,TRAF4-TRAN,Gene-TRAN,TRAF4
2030,TRAF5-TRAN,Gene-TRAN,TRAF5
2031,TRAF6-TRAN,Gene-TRAN,TRAF6
2032,TRDN-TRAN,Gene-TRAN,TRDN
2033,TRHR-TRAN,Gene-TRAN,TRHR
2034,TRIM25-TRAN,Gene-TRAN,TRIM25
2035,TRIP10-TRAN,Gene-TRAN,TRIP10
2036,TRIP6-TRAN,Gene-TRAN,TRIP6
2037,TRPC6-TRAN,Gene-TRAN,TRPC6
2038,TRPM2-TRAN,Gene-TRAN,TRPM2
2039,TSC1-TRAN,Gene-TRAN,TSC1
2040,TSC2-TRAN,Gene-TRAN,TSC2
2041,TSHB-TRAN,Gene-TRAN,TSHB
2042,TSHR-TRAN,Gene-TRAN,TSHR
2043,TSLP-TRAN,Gene-TRAN,TSLP
2044,TTI1-TRAN,Gene-TRAN,TTI1
2045,TXN-TRAN,Gene-TRAN,TXN
2046,TXN2-TRAN,Gene-TRAN,TXN2
2047,TXNIP-TRAN,Gene-TRAN,TXNIP
2048,TYK2-TRAN,Gene-TRAN,TYK2
2049,UBC-TRAN,Gene-TRAN,UBC
2050,UCP1-TRAN,Gene-TRAN,UCP1
2051,ULK1-TRAN,Gene-TRAN,ULK1
2052,ULK2-TRAN,Gene-TRAN,ULK2
2053,USP25-TRAN,Gene-TRAN,USP25
2054,USP7-TRAN,Gene-TRAN,USP7
2055,VANGL1-TRAN,Gene-TRAN,VANGL1
2056,VANGL2-TRAN,Gene-TRAN,VANGL2
2057,VASP-TRAN,Gene-TRAN,VASP
2058,VAV1-TRAN,Gene-TRAN,VAV1
2059,VAV2-TRAN,Gene-TRAN,VAV2
2060,VAV3-TRAN,Gene-TRAN,VAV3
2061,VCAM1-TRAN,Gene-TRAN,VCAM1
2062,VDAC1-TRAN,Gene-TRAN,VDAC1
2063,VDAC2-TRAN,Gene-TRAN,VDAC2
2064,VDAC3-TRAN,Gene-TRAN,VDAC3
2065,VEGFA-TRAN,Gene-TRAN,VEGFA
2066,VEGFB-TRAN,Gene-TRAN,VEGFB
2067,VEGFC-TRAN,Gene-TRAN,VEGFC
2068,VEGFD-TRAN,Gene-TRAN,VEGFD
2069,VHL-TRAN,Gene-TRAN,VHL
2070,VIP-TRAN,Gene-TRAN,VIP
2071,VIPR2-TRAN,Gene-TRAN,VIPR2
2072,VTN-TRAN,Gene-TRAN,VTN
2073,VWF-TRAN,Gene-TRAN,VWF
2074,WAS-TRAN,Gene-TRAN,WAS
2075,WDR24-TRAN,Gene-TRAN,WDR24
2076,WDR59-TRAN,Gene-TRAN,WDR59
2077,WIF1-TRAN,Gene-TRAN,WIF1
2078,WNT1-TRAN,Gene-TRAN,WNT1
2079,WNT10A-TRAN,Gene-TRAN,WNT10A
2080,WNT10B-TRAN,Gene-TRAN,WNT10B
2081,WNT11-TRAN,Gene-TRAN,WNT11
2082,WNT16-TRAN,Gene-TRAN,WNT16
2083,WNT2-TRAN,Gene-TRAN,WNT2
2084,WNT2B-TRAN,Gene-TRAN,WNT2B
2085,WNT3-TRAN,Gene-TRAN,WNT3
2086,WNT3A-TRAN,Gene-TRAN,WNT3A
2087,WNT4-TRAN,Gene-TRAN,WNT4
2088,WNT5A-TRAN,Gene-TRAN,WNT5A
2089,WNT5B-TRAN,Gene-TRAN,WNT5B
2090,WNT6-TRAN,Gene-TRAN,WNT6
2091,WNT7A-TRAN,Gene-TRAN,WNT7A
2092,WNT7B-TRAN,Gene-TRAN,WNT7B
2093,WNT8A-TRAN,Gene-TRAN,WNT8A
2094,WNT8B-TRAN,Gene-TRAN,WNT8B
2095,WNT9A-TRAN,Gene-TRAN,WNT9A
2096,WNT9B-TRAN,Gene-TRAN,WNT9B
2097,WTIP-TRAN,Gene-TRAN,WTIP
2098,WWC1-TRAN,Gene-TRAN,WWC1
2099,WWTR1-TRAN,Gene-TRAN,WWTR1
2100,XCL1-TRAN,Gene-TRAN,XCL1
2101,XCL2-TRAN,Gene-TRAN,XCL2
2102,XCR1-TRAN,Gene-TRAN,XCR1
2103,XIAP-TRAN,Gene-TRAN,XIAP
2104,YAP1-TRAN,Gene-TRAN,YAP1
2105,YWHAB-TRAN,Gene-TRAN,YWHAB
2106,YWHAE-TRAN,Gene-TRAN,YWHAE
2107,YWHAG-TRAN,Gene-TRAN,YWHAG
2108,YWHAH-TRAN,Gene-TRAN,YWHAH
2109,YWHAQ-TRAN,Gene-TRAN,YWHAQ
2110,YWHAZ-TRAN,Gene-TRAN,YWHAZ
2111,ZAP70-TRAN,Gene-TRAN,ZAP70
2112,ZFYVE16-TRAN,Gene-TRAN,ZFYVE16
2113,ZFYVE9-TRAN,Gene-TRAN,ZFYVE9
2114,ZMAT3-TRAN,Gene-TRAN,ZMAT3
2115,ZNF274-TRAN,Gene-TRAN,ZNF274
2116,ZNRF3-TRAN,Gene-TRAN,ZNRF3
2117,ABL1-METH,Gene-METH,ABL1 promoter
2118,ABL2-METH,Gene-METH,ABL2 promoter
2119,ACAA1-METH,Gene-METH,ACAA1 promoter
2120,ACACA-METH,Gene-METH,ACACA promoter
2121,ACACB-METH,Gene-METH,ACACB promoter
2122,ACADL-METH,Gene-METH,ACADL promoter
2123,ACADM-METH,Gene-METH,ACADM promoter
2124,ACOX1-METH,Gene-METH,ACOX1 promoter
2125,ACOX2-METH,Gene-METH,ACOX2 promoter
2126,ACOX3-METH,Gene-METH,ACOX3 promoter
2127,ACSBG1-METH,Gene-METH,ACSBG1 promoter
2128,ACSBG2-METH,Gene-METH,ACSBG2 promoter
2129,ACSL1-METH,Gene-METH,ACSL1 promoter
2130,ACSL3-METH,Gene-METH,ACSL3 promoter
2131,ACSL4-METH,Gene-METH,ACSL4 promoter
2132,ACSL5-METH,Gene-METH,ACSL5 promoter
2133,ACSL6-METH,Gene-METH,ACSL6 promoter
2134,ACTA2-METH,Gene-METH,ACTA2 promoter
2135,ACTB-METH,Gene-METH,ACTB promoter
2136,ACTG1-METH,Gene-METH,ACTG1 promoter
2137,ACVR1-METH,Gene-METH,ACVR1 promoter
2138,ACVR1B-METH,Gene-METH,ACVR1B promoter
2139,ACVR1C-METH,Gene-METH,ACVR1C promoter
2140,ACVR2A-METH,Gene-METH,ACVR2A promoter
2141,ACVR2B-METH,Gene-METH,ACVR2B promoter
2142,ADAM17-METH,Gene-METH,ADAM17 promoter
2143,ADCY1-METH,Gene-METH,ADCY1 promoter
2144,ADCY10-METH,Gene-METH,ADCY10 promoter
2145,ADCY2-METH,Gene-METH,ADCY2 promoter
2146,ADCY3-METH,Gene-METH,ADCY3 promoter
2147,ADCY4-METH,Gene-METH,ADCY4 promoter
2148,ADCY5-METH,Gene-METH,ADCY5 promoter
2149,ADCY6-METH,Gene-METH,ADCY6 promoter
2150,ADCY7-METH,Gene-METH,ADCY7 promoter
2151,ADCY8-METH,Gene-METH,ADCY8 promoter
