src,dest,EdgeType,Textual_edge_type
RPS6KA3-TRAN,RPS6KA3-METH,Gene-TRAN-Gene-METH,promoting transcription
RPS6KA3-TRAN,RPS6KA3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RPS6KA4-TRAN,RPS6KA4-METH,Gene-TRAN-Gene-METH,promoting transcription
RPS6KA4-TRAN,RPS6KA4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RPS6KA5-TRAN,RPS6KA5-METH,Gene-TRAN-Gene-METH,promoting transcription
RPS6KA5-TRAN,RPS6KA5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RPS6KA6-TRAN,RPS6KA6-METH,Gene-TRAN-Gene-METH,promoting transcription
RPS6KA6-TRAN,RPS6KA6-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RPS6KB1-TRAN,RPS6KB1-METH,Gene-TRAN-Gene-METH,promoting transcription
RPS6KB1-TRAN,RPS6KB1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RPS6KB2-TRAN,RPS6KB2-METH,Gene-TRAN-Gene-METH,promoting transcription
RPS6KB2-TRAN,RPS6KB2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RPTOR-TRAN,RPTOR-METH,Gene-TRAN-Gene-METH,promoting transcription
RPTOR-TRAN,RPTOR-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RRAGA-TRAN,RRAGA-METH,Gene-TRAN-Gene-METH,promoting transcription
RRAGA-TRAN,RRAGA-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RRAGB-TRAN,RRAGB-METH,Gene-TRAN-Gene-METH,promoting transcription
RRAGB-TRAN,RRAGB-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RRAGC-TRAN,RRAGC-METH,Gene-TRAN-Gene-METH,promoting transcription
RRAGC-TRAN,RRAGC-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RRAGD-TRAN,RRAGD-METH,Gene-TRAN-Gene-METH,promoting transcription
RRAGD-TRAN,RRAGD-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RRAS-TRAN,RRAS-METH,Gene-TRAN-Gene-METH,promoting transcription
RRAS-TRAN,RRAS-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RRAS2-TRAN,RRAS2-METH,Gene-TRAN-Gene-METH,promoting transcription
RRAS2-TRAN,RRAS2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RRM2-TRAN,RRM2-METH,Gene-TRAN-Gene-METH,promoting transcription
RRM2-TRAN,RRM2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RRM2B-TRAN,RRM2B-METH,Gene-TRAN-Gene-METH,promoting transcription
RRM2B-TRAN,RRM2B-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RSPO1-TRAN,RSPO1-METH,Gene-TRAN-Gene-METH,promoting transcription
RSPO1-TRAN,RSPO1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RSPO2-TRAN,RSPO2-METH,Gene-TRAN-Gene-METH,promoting transcription
RSPO2-TRAN,RSPO2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RSPO3-TRAN,RSPO3-METH,Gene-TRAN-Gene-METH,promoting transcription
RSPO3-TRAN,RSPO3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RSPO4-TRAN,RSPO4-METH,Gene-TRAN-Gene-METH,promoting transcription
RSPO4-TRAN,RSPO4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RUVBL1-TRAN,RUVBL1-METH,Gene-TRAN-Gene-METH,promoting transcription
RUVBL1-TRAN,RUVBL1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RXFP1-TRAN,RXFP1-METH,Gene-TRAN-Gene-METH,promoting transcription
RXFP1-TRAN,RXFP1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RXFP2-TRAN,RXFP2-METH,Gene-TRAN-Gene-METH,promoting transcription
RXFP2-TRAN,RXFP2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RXFP3-TRAN,RXFP3-METH,Gene-TRAN-Gene-METH,promoting transcription
RXFP3-TRAN,RXFP3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RXFP4-TRAN,RXFP4-METH,Gene-TRAN-Gene-METH,promoting transcription
RXFP4-TRAN,RXFP4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RXRA-TRAN,RXRA-METH,Gene-TRAN-Gene-METH,promoting transcription
RXRA-TRAN,RXRA-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RXRB-TRAN,RXRB-METH,Gene-TRAN-Gene-METH,promoting transcription
RXRB-TRAN,RXRB-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RXRG-TRAN,RXRG-METH,Gene-TRAN-Gene-METH,promoting transcription
RXRG-TRAN,RXRG-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RYK-TRAN,RYK-METH,Gene-TRAN-Gene-METH,promoting transcription
RYK-TRAN,RYK-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RYR1-TRAN,RYR1-METH,Gene-TRAN-Gene-METH,promoting transcription
RYR1-TRAN,RYR1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RYR2-TRAN,RYR2-METH,Gene-TRAN-Gene-METH,promoting transcription
RYR2-TRAN,RYR2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
RYR3-TRAN,RYR3-METH,Gene-TRAN-Gene-METH,promoting transcription
RYR3-TRAN,RYR3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
S100A7-TRAN,S100A7-METH,Gene-TRAN-Gene-METH,promoting transcription
S100A7-TRAN,S100A7-PROT,Gene-TRAN-Gene-PROT,transcripting protein
S100A7A-TRAN,S100A7A-METH,Gene-TRAN-Gene-METH,promoting transcription
S100A7A-TRAN,S100A7A-PROT,Gene-TRAN-Gene-PROT,transcripting protein
S100A8-TRAN,S100A8-METH,Gene-TRAN-Gene-METH,promoting transcription
S100A8-TRAN,S100A8-PROT,Gene-TRAN-Gene-PROT,transcripting protein
S100A9-TRAN,S100A9-METH,Gene-TRAN-Gene-METH,promoting transcription
S100A9-TRAN,S100A9-PROT,Gene-TRAN-Gene-PROT,transcripting protein
S1PR1-TRAN,S1PR1-METH,Gene-TRAN-Gene-METH,promoting transcription
S1PR1-TRAN,S1PR1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
S1PR2-TRAN,S1PR2-METH,Gene-TRAN-Gene-METH,promoting transcription
S1PR2-TRAN,S1PR2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
S1PR3-TRAN,S1PR3-METH,Gene-TRAN-Gene-METH,promoting transcription
S1PR3-TRAN,S1PR3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
S1PR4-TRAN,S1PR4-METH,Gene-TRAN-Gene-METH,promoting transcription
S1PR4-TRAN,S1PR4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
S1PR5-TRAN,S1PR5-METH,Gene-TRAN-Gene-METH,promoting transcription
S1PR5-TRAN,S1PR5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SAV1-TRAN,SAV1-METH,Gene-TRAN-Gene-METH,promoting transcription
SAV1-TRAN,SAV1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SCD-TRAN,SCD-METH,Gene-TRAN-Gene-METH,promoting transcription
SCD-TRAN,SCD-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SCD5-TRAN,SCD5-METH,Gene-TRAN-Gene-METH,promoting transcription
SCD5-TRAN,SCD5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SCP2-TRAN,SCP2-METH,Gene-TRAN-Gene-METH,promoting transcription
SCP2-TRAN,SCP2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SCRIB-TRAN,SCRIB-METH,Gene-TRAN-Gene-METH,promoting transcription
SCRIB-TRAN,SCRIB-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SEC13-TRAN,SEC13-METH,Gene-TRAN-Gene-METH,promoting transcription
SEC13-TRAN,SEC13-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SEH1L-TRAN,SEH1L-METH,Gene-TRAN-Gene-METH,promoting transcription
SEH1L-TRAN,SEH1L-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SELE-TRAN,SELE-METH,Gene-TRAN-Gene-METH,promoting transcription
SELE-TRAN,SELE-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SENP2-TRAN,SENP2-METH,Gene-TRAN-Gene-METH,promoting transcription
SENP2-TRAN,SENP2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SERPINB5-TRAN,SERPINB5-METH,Gene-TRAN-Gene-METH,promoting transcription
SERPINB5-TRAN,SERPINB5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SERPINE1-TRAN,SERPINE1-METH,Gene-TRAN-Gene-METH,promoting transcription
SERPINE1-TRAN,SERPINE1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SERPINF1-TRAN,SERPINF1-METH,Gene-TRAN-Gene-METH,promoting transcription
SERPINF1-TRAN,SERPINF1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SESN1-TRAN,SESN1-METH,Gene-TRAN-Gene-METH,promoting transcription
SESN1-TRAN,SESN1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SESN2-TRAN,SESN2-METH,Gene-TRAN-Gene-METH,promoting transcription
SESN2-TRAN,SESN2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SESN3-TRAN,SESN3-METH,Gene-TRAN-Gene-METH,promoting transcription
SESN3-TRAN,SESN3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SETD7-TRAN,SETD7-METH,Gene-TRAN-Gene-METH,promoting transcription
SETD7-TRAN,SETD7-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SFN-TRAN,SFN-METH,Gene-TRAN-Gene-METH,promoting transcription
SFN-TRAN,SFN-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SFRP1-TRAN,SFRP1-METH,Gene-TRAN-Gene-METH,promoting transcription
SFRP1-TRAN,SFRP1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SFRP2-TRAN,SFRP2-METH,Gene-TRAN-Gene-METH,promoting transcription
SFRP2-TRAN,SFRP2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SFRP4-TRAN,SFRP4-METH,Gene-TRAN-Gene-METH,promoting transcription
SFRP4-TRAN,SFRP4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SFRP5-TRAN,SFRP5-METH,Gene-TRAN-Gene-METH,promoting transcription
SFRP5-TRAN,SFRP5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SGK1-TRAN,SGK1-METH,Gene-TRAN-Gene-METH,promoting transcription
SGK1-TRAN,SGK1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SGK2-TRAN,SGK2-METH,Gene-TRAN-Gene-METH,promoting transcription
SGK2-TRAN,SGK2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SGK3-TRAN,SGK3-METH,Gene-TRAN-Gene-METH,promoting transcription
SGK3-TRAN,SGK3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SH2B1-TRAN,SH2B1-METH,Gene-TRAN-Gene-METH,promoting transcription
SH2B1-TRAN,SH2B1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SH2B2-TRAN,SH2B2-METH,Gene-TRAN-Gene-METH,promoting transcription
SH2B2-TRAN,SH2B2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SH2B3-TRAN,SH2B3-METH,Gene-TRAN-Gene-METH,promoting transcription
SH2B3-TRAN,SH2B3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SH2D2A-TRAN,SH2D2A-METH,Gene-TRAN-Gene-METH,promoting transcription
SH2D2A-TRAN,SH2D2A-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SHARPIN-TRAN,SHARPIN-METH,Gene-TRAN-Gene-METH,promoting transcription
SHARPIN-TRAN,SHARPIN-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SHC1-TRAN,SHC1-METH,Gene-TRAN-Gene-METH,promoting transcription
SHC1-TRAN,SHC1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SHC2-TRAN,SHC2-METH,Gene-TRAN-Gene-METH,promoting transcription
SHC2-TRAN,SHC2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SHC3-TRAN,SHC3-METH,Gene-TRAN-Gene-METH,promoting transcription
SHC3-TRAN,SHC3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SHC4-TRAN,SHC4-METH,Gene-TRAN-Gene-METH,promoting transcription
SHC4-TRAN,SHC4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SHH-TRAN,SHH-METH,Gene-TRAN-Gene-METH,promoting transcription
SHH-TRAN,SHH-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SHISA5-TRAN,SHISA5-METH,Gene-TRAN-Gene-METH,promoting transcription
SHISA5-TRAN,SHISA5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SHOC2-TRAN,SHOC2-METH,Gene-TRAN-Gene-METH,promoting transcription
SHOC2-TRAN,SHOC2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SIAH1-TRAN,SIAH1-METH,Gene-TRAN-Gene-METH,promoting transcription
SIAH1-TRAN,SIAH1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SIK1-TRAN,SIK1-METH,Gene-TRAN-Gene-METH,promoting transcription
SIK1-TRAN,SIK1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SIK2-TRAN,SIK2-METH,Gene-TRAN-Gene-METH,promoting transcription
SIK2-TRAN,SIK2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SIKE1-TRAN,SIKE1-METH,Gene-TRAN-Gene-METH,promoting transcription
SIKE1-TRAN,SIKE1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SIN3A-TRAN,SIN3A-METH,Gene-TRAN-Gene-METH,promoting transcription
SIN3A-TRAN,SIN3A-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SIPA1-TRAN,SIPA1-METH,Gene-TRAN-Gene-METH,promoting transcription
SIPA1-TRAN,SIPA1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SIPA1L1-TRAN,SIPA1L1-METH,Gene-TRAN-Gene-METH,promoting transcription
SIPA1L1-TRAN,SIPA1L1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SIPA1L2-TRAN,SIPA1L2-METH,Gene-TRAN-Gene-METH,promoting transcription
SIPA1L2-TRAN,SIPA1L2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SIRT1-TRAN,SIRT1-METH,Gene-TRAN-Gene-METH,promoting transcription
SIRT1-TRAN,SIRT1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SIVA1-TRAN,SIVA1-METH,Gene-TRAN-Gene-METH,promoting transcription
SIVA1-TRAN,SIVA1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SKAP1-TRAN,SKAP1-METH,Gene-TRAN-Gene-METH,promoting transcription
SKAP1-TRAN,SKAP1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SKP1-TRAN,SKP1-METH,Gene-TRAN-Gene-METH,promoting transcription
SKP1-TRAN,SKP1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SKP2-TRAN,SKP2-METH,Gene-TRAN-Gene-METH,promoting transcription
SKP2-TRAN,SKP2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC25A31-TRAN,SLC25A31-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC25A31-TRAN,SLC25A31-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC25A4-TRAN,SLC25A4-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC25A4-TRAN,SLC25A4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC25A5-TRAN,SLC25A5-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC25A5-TRAN,SLC25A5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC25A6-TRAN,SLC25A6-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC25A6-TRAN,SLC25A6-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC27A1-TRAN,SLC27A1-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC27A1-TRAN,SLC27A1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC27A4-TRAN,SLC27A4-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC27A4-TRAN,SLC27A4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC2A1-TRAN,SLC2A1-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC2A1-TRAN,SLC2A1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC2A2-TRAN,SLC2A2-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC2A2-TRAN,SLC2A2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC2A4-TRAN,SLC2A4-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC2A4-TRAN,SLC2A4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC38A9-TRAN,SLC38A9-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC38A9-TRAN,SLC38A9-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC3A2-TRAN,SLC3A2-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC3A2-TRAN,SLC3A2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC7A5-TRAN,SLC7A5-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC7A5-TRAN,SLC7A5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC8A1-TRAN,SLC8A1-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC8A1-TRAN,SLC8A1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC8A2-TRAN,SLC8A2-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC8A2-TRAN,SLC8A2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC8A3-TRAN,SLC8A3-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC8A3-TRAN,SLC8A3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SLC9A1-TRAN,SLC9A1-METH,Gene-TRAN-Gene-METH,promoting transcription
SLC9A1-TRAN,SLC9A1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SMAD1-TRAN,SMAD1-METH,Gene-TRAN-Gene-METH,promoting transcription
SMAD1-TRAN,SMAD1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SMAD2-TRAN,SMAD2-METH,Gene-TRAN-Gene-METH,promoting transcription
SMAD2-TRAN,SMAD2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SMAD3-TRAN,SMAD3-METH,Gene-TRAN-Gene-METH,promoting transcription
SMAD3-TRAN,SMAD3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SMAD4-TRAN,SMAD4-METH,Gene-TRAN-Gene-METH,promoting transcription
SMAD4-TRAN,SMAD4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SMAD5-TRAN,SMAD5-METH,Gene-TRAN-Gene-METH,promoting transcription
SMAD5-TRAN,SMAD5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SMAD6-TRAN,SMAD6-METH,Gene-TRAN-Gene-METH,promoting transcription
SMAD6-TRAN,SMAD6-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SMAD7-TRAN,SMAD7-METH,Gene-TRAN-Gene-METH,promoting transcription
SMAD7-TRAN,SMAD7-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SMAD9-TRAN,SMAD9-METH,Gene-TRAN-Gene-METH,promoting transcription
SMAD9-TRAN,SMAD9-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SMO-TRAN,SMO-METH,Gene-TRAN-Gene-METH,promoting transcription
SMO-TRAN,SMO-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SMPD1-TRAN,SMPD1-METH,Gene-TRAN-Gene-METH,promoting transcription
SMPD1-TRAN,SMPD1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SMPD2-TRAN,SMPD2-METH,Gene-TRAN-Gene-METH,promoting transcription
SMPD2-TRAN,SMPD2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SMURF1-TRAN,SMURF1-METH,Gene-TRAN-Gene-METH,promoting transcription
SMURF1-TRAN,SMURF1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SMURF2-TRAN,SMURF2-METH,Gene-TRAN-Gene-METH,promoting transcription
SMURF2-TRAN,SMURF2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SNAI2-TRAN,SNAI2-METH,Gene-TRAN-Gene-METH,promoting transcription
SNAI2-TRAN,SNAI2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SNW1-TRAN,SNW1-METH,Gene-TRAN-Gene-METH,promoting transcription
SNW1-TRAN,SNW1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOCS1-TRAN,SOCS1-METH,Gene-TRAN-Gene-METH,promoting transcription
SOCS1-TRAN,SOCS1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOCS2-TRAN,SOCS2-METH,Gene-TRAN-Gene-METH,promoting transcription
SOCS2-TRAN,SOCS2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOCS3-TRAN,SOCS3-METH,Gene-TRAN-Gene-METH,promoting transcription
SOCS3-TRAN,SOCS3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOCS4-TRAN,SOCS4-METH,Gene-TRAN-Gene-METH,promoting transcription
SOCS4-TRAN,SOCS4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOCS5-TRAN,SOCS5-METH,Gene-TRAN-Gene-METH,promoting transcription
SOCS5-TRAN,SOCS5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOCS6-TRAN,SOCS6-METH,Gene-TRAN-Gene-METH,promoting transcription
SOCS6-TRAN,SOCS6-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOCS7-TRAN,SOCS7-METH,Gene-TRAN-Gene-METH,promoting transcription
SOCS7-TRAN,SOCS7-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOD2-TRAN,SOD2-METH,Gene-TRAN-Gene-METH,promoting transcription
SOD2-TRAN,SOD2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SORBS1-TRAN,SORBS1-METH,Gene-TRAN-Gene-METH,promoting transcription
SORBS1-TRAN,SORBS1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SORT1-TRAN,SORT1-METH,Gene-TRAN-Gene-METH,promoting transcription
SORT1-TRAN,SORT1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOS1-TRAN,SOS1-METH,Gene-TRAN-Gene-METH,promoting transcription
SOS1-TRAN,SOS1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOS2-TRAN,SOS2-METH,Gene-TRAN-Gene-METH,promoting transcription
SOS2-TRAN,SOS2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOST-TRAN,SOST-METH,Gene-TRAN-Gene-METH,promoting transcription
SOST-TRAN,SOST-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOX17-TRAN,SOX17-METH,Gene-TRAN-Gene-METH,promoting transcription
SOX17-TRAN,SOX17-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOX2-TRAN,SOX2-METH,Gene-TRAN-Gene-METH,promoting transcription
SOX2-TRAN,SOX2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SOX9-TRAN,SOX9-METH,Gene-TRAN-Gene-METH,promoting transcription
SOX9-TRAN,SOX9-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SP1-TRAN,SP1-METH,Gene-TRAN-Gene-METH,promoting transcription
SP1-TRAN,SP1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SPHK1-TRAN,SPHK1-METH,Gene-TRAN-Gene-METH,promoting transcription
SPHK1-TRAN,SPHK1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SPHK2-TRAN,SPHK2-METH,Gene-TRAN-Gene-METH,promoting transcription
SPHK2-TRAN,SPHK2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SPOP-TRAN,SPOP-METH,Gene-TRAN-Gene-METH,promoting transcription
SPOP-TRAN,SPOP-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SPOPL-TRAN,SPOPL-METH,Gene-TRAN-Gene-METH,promoting transcription
SPOPL-TRAN,SPOPL-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SPP1-TRAN,SPP1-METH,Gene-TRAN-Gene-METH,promoting transcription
SPP1-TRAN,SPP1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SRC-TRAN,SRC-METH,Gene-TRAN-Gene-METH,promoting transcription
SRC-TRAN,SRC-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SREBF1-TRAN,SREBF1-METH,Gene-TRAN-Gene-METH,promoting transcription
SREBF1-TRAN,SREBF1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SRF-TRAN,SRF-METH,Gene-TRAN-Gene-METH,promoting transcription
SRF-TRAN,SRF-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SRSF1-TRAN,SRSF1-METH,Gene-TRAN-Gene-METH,promoting transcription
SRSF1-TRAN,SRSF1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SST-TRAN,SST-METH,Gene-TRAN-Gene-METH,promoting transcription
SST-TRAN,SST-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SSTR1-TRAN,SSTR1-METH,Gene-TRAN-Gene-METH,promoting transcription
SSTR1-TRAN,SSTR1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SSTR2-TRAN,SSTR2-METH,Gene-TRAN-Gene-METH,promoting transcription
SSTR2-TRAN,SSTR2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
SSTR5-TRAN,SSTR5-METH,Gene-TRAN-Gene-METH,promoting transcription
SSTR5-TRAN,SSTR5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
STAM-TRAN,STAM-METH,Gene-TRAN-Gene-METH,promoting transcription
STAM-TRAN,STAM-PROT,Gene-TRAN-Gene-PROT,transcripting protein
STAM2-TRAN,STAM2-METH,Gene-TRAN-Gene-METH,promoting transcription
STAM2-TRAN,STAM2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
STAT1-TRAN,STAT1-METH,Gene-TRAN-Gene-METH,promoting transcription
STAT1-TRAN,STAT1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
STAT2-TRAN,STAT2-METH,Gene-TRAN-Gene-METH,promoting transcription
STAT2-TRAN,STAT2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
STAT3-TRAN,STAT3-METH,Gene-TRAN-Gene-METH,promoting transcription
STAT3-TRAN,STAT3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
STAT4-TRAN,STAT4-METH,Gene-TRAN-Gene-METH,promoting transcription
STAT4-TRAN,STAT4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
STAT5A-TRAN,STAT5A-METH,Gene-TRAN-Gene-METH,promoting transcription
STAT5A-TRAN,STAT5A-PROT,Gene-TRAN-Gene-PROT,transcripting protein
STAT5B-TRAN,STAT5B-METH,Gene-TRAN-Gene-METH,promoting transcription
STAT5B-TRAN,STAT5B-PROT,Gene-TRAN-Gene-PROT,transcripting protein
STAT6-TRAN,STAT6-METH,Gene-TRAN-Gene-METH,promoting transcription
STAT6-TRAN,STAT6-PROT,Gene-TRAN-Gene-PROT,transcripting protein
STEAP3-TRAN,STEAP3-METH,Gene-TRAN-Gene-METH,promoting transcription
STEAP3-TRAN,STEAP3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
